"student_id","coursework_mark","final_exam_mark"
"S001",40,41
"S002",59,63
"S003",79,64
"S004",56,62
"S005",74,56
"S006",41,35
"S007",64,84
"S008",73,60
"S009",70,64
"S010",67,65
"S011",55,49
"S012",52,55
"S013",50,53
"S014",67,58
"S015",51,51
"S016",58,55
"S017",61,74
"S018",93,70
"S019",55,44
"S020",69,62
"S021",66,62
"S022",51,54
"S023",64,55
"S024",87,64
"S025",72,73
"S026",66,57
"S027",59,48
"S028",34,39
"S029",82,68
"S030",43,55
"S031",76,66
"S032",94,82
"S033",43,42
"S034",76,67
"S035",61,54
"S036",41,45
"S037",42,38
"S038",41,34
"S039",57,70
"S040",43,51
"S041",75,55
"S042",97,73
"S043",46,38
"S044",77,84
"S045",77,77
"S046",70,60
"S047",50,54
"S048",63,54
"S049",61,53
"S050",73,57
